complexity,forecasting_method_name,root_10,to_predict_10,forecasted_10,sort_simi_percen_10,gral_simi_percen_10,forecasting_method_name,root_25,to_predict_25,forecasted_25,sort_simi_percen_25,gral_simi_percen_25,forecasting_method_name,root_50,to_predict_50,forecasted_50,sort_simi_percen_50,gral_simi_percen_50,forecasting_method_name,root_75,to_predict_75,forecasted_75,sort_simi_percen_75,gral_simi_percen_75,seq
2,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],[16],0,0,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]","[14, 16]",0,0,lag-llama,"[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]","[6, 8, 8, 9, 8]",0,0,lag-llama,"[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]","[2, 2, 2, 2, 2, 2, 0]",0,0,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
2,lag-llama,"[1, 1, 2, 3, 5, 8, 13, 21, 34]",[55],[17],0,0,lag-llama,"[1, 1, 2, 3, 5, 8, 13, 21]","[34, 55]","[13, 16]",0,0,lag-llama,"[1, 1, 2, 3, 5]","[8, 13, 21, 34, 55]","[3, 4, 2, 3, 4]",0,0,lag-llama,"[1, 1, 2]","[3, 5, 8, 13, 21, 34, 55]","[1, 1, 1, 1, 1, 1, 1]",0,0,"1, 1, 2, 3, 5, 8, 13, 21, 34, 55"
2,lag-llama,"[1, 2, 4, 8, 16, 32, 64, 128, 256]",[512],[109],0,0,lag-llama,"[1, 2, 4, 8, 16, 32, 64, 128]","[256, 512]","[-4, 49]",0,0,lag-llama,"[1, 2, 4, 8, 16]","[32, 64, 128, 256, 512]","[8, 8, 9, 9, 13]",0,0,lag-llama,"[1, 2, 4]","[8, 16, 32, 64, 128, 256, 512]","[3, 3, 4, 4, 2, 2, 3]",0,0,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512"
2,lag-llama,"[1, 3, 9, 27, 81, 243, 729, 2187, 6561]",[19683],[1771],0,0,lag-llama,"[1, 3, 9, 27, 81, 243, 729, 2187]","[6561, 19683]","[855, 839]",0,0,lag-llama,"[1, 3, 9, 27, 81]","[243, 729, 2187, 6561, 19683]","[25, 33, 24, 32, 17]",0,0,lag-llama,"[1, 3, 9]","[27, 81, 243, 729, 2187, 6561, 19683]","[4, 2, 4, 3, 3, 3, 5]",0,0,"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683"
2,lag-llama,"[1, 4, 9, 16, 25, 36, 49, 64, 81]",[100],[55],0,0,lag-llama,"[1, 4, 9, 16, 25, 36, 49, 64]","[81, 100]","[40, 51]",0,0,lag-llama,"[1, 4, 9, 16, 25]","[36, 49, 64, 81, 100]","[18, 18, 18, 14, 18]",0,0,lag-llama,"[1, 4, 9]","[16, 25, 36, 49, 64, 81, 100]","[5, 3, 4, 2, 1, 3, 4]",0,0,"1, 4, 9, 16, 25, 36, 49, 64, 81, 100"
2,lag-llama,"[1, 8, 27, 64, 125, 216, 343, 512, 729]",[1000],[492],0,0,lag-llama,"[1, 8, 27, 64, 125, 216, 343, 512]","[729, 1000]","[236, 542]",0,0,lag-llama,"[1, 8, 27, 64, 125]","[216, 343, 512, 729, 1000]","[53, 75, 67, 63, 77]",0,0,lag-llama,"[1, 8, 27]","[64, 125, 216, 343, 512, 729, 1000]","[3, 10, 8, 10, 7, 5, 13]",0,0,"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000"
2,lag-llama,"[1, 1, 2, 6, 24, 120, 720, 5040, 40320]",[362880],[351],0,0,lag-llama,"[1, 1, 2, 6, 24, 120, 720, 5040]","[40320, 362880]","[398, 189]",0,0,lag-llama,"[1, 1, 2, 6, 24]","[120, 720, 5040, 40320, 362880]","[5, 7, 7, 7, 5]",0,0,lag-llama,"[1, 1, 2]","[6, 24, 120, 720, 5040, 40320, 362880]","[1, 1, 1, 1, 1, 1, 1]",0,0,"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880"
2,lag-llama,"[1, 3, 6, 10, 15, 21, 28, 36, 45]",[55],[31],0,0,lag-llama,"[1, 3, 6, 10, 15, 21, 28, 36]","[45, 55]","[27, 33]",0,0,lag-llama,"[1, 3, 6, 10, 15]","[21, 28, 36, 45, 55]","[12, 9, 12, 10, 12]",0,0,lag-llama,"[1, 3, 6]","[10, 15, 21, 28, 36, 45, 55]","[9, 4, 2, 3, 6, 2, 3]",0,0,"1, 3, 6, 10, 15, 21, 28, 36, 45, 55"
2,lag-llama,"[2, 1, 3, 4, 7, 11, 18, 29, 47]",[76],[30],0,0,lag-llama,"[2, 1, 3, 4, 7, 11, 18, 29]","[47, 76]","[25, 19]",0,0,lag-llama,"[2, 1, 3, 4, 7]","[11, 18, 29, 47, 76]","[3, 5, 4, 3, 4]",0,0,lag-llama,"[2, 1, 3]","[4, 7, 11, 18, 29, 47, 76]","[1, 1, 1, 1, 1, 1, 0]",0,0,"2, 1, 3, 4, 7, 11, 18, 29, 47, 76"
2,lag-llama,"[0, 1, 2, 5, 12, 29, 70, 169, 408]",[985],[124],0,0,lag-llama,"[0, 1, 2, 5, 12, 29, 70, 169]","[408, 985]","[44, 41]",0,0,lag-llama,"[0, 1, 2, 5, 12]","[29, 70, 169, 408, 985]","[2, 6, 4, 5, 2]",0,0,lag-llama,"[0, 1, 2]","[5, 12, 29, 70, 169, 408, 985]","[0, 1, 1, 1, 1, 0, 1]",0,0,"0, 1, 2, 5, 12, 29, 70, 169, 408, 985"
