complexity,forecasting_method_name,root_10,to_predict_10,forecasted_10,sort_simi_percen_10,gral_simi_percen_10,forecasting_method_name,root_25,to_predict_25,forecasted_25,sort_simi_percen_25,gral_simi_percen_25,forecasting_method_name,root_50,to_predict_50,forecasted_50,sort_simi_percen_50,gral_simi_percen_50,forecasting_method_name,root_75,to_predict_75,forecasted_75,sort_simi_percen_75,gral_simi_percen_75,seq
3,lag-llama,"[1, 4, 9, 16, 25, 36, 49, 64, 81]",[100],[49],0,0,lag-llama,"[1, 4, 9, 16, 25, 36, 49, 64]","[81, 100]","[50, 51]",0,0,lag-llama,"[1, 4, 9, 16, 25]","[36, 49, 64, 81, 100]","[16, 17, 18, 16, 19]",0,0,lag-llama,"[1, 4, 9]","[16, 25, 36, 49, 64, 81, 100]","[9, 4, 6, 3, 5, 2, 4]",0,0,"1, 4, 9, 16, 25, 36, 49, 64, 81, 100"
3,lag-llama,"[1, 8, 27, 64, 125, 216, 343, 512, 729]",[1000],[517],0,0,lag-llama,"[1, 8, 27, 64, 125, 216, 343, 512]","[729, 1000]","[362, 386]",0,0,lag-llama,"[1, 8, 27, 64, 125]","[216, 343, 512, 729, 1000]","[42, 103, 83, 54, 70]",0,0,lag-llama,"[1, 8, 27]","[64, 125, 216, 343, 512, 729, 1000]","[10, 11, 5, 9, 10, 10, 12]",0,0,"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000"
3,lag-llama,"[2, 1, 2, 1, 2, 2, 1, 2, 2]",[2],[2],100,100,lag-llama,"[2, 1, 2, 1, 2, 2, 1, 2]","[2, 2]","[1, 1]",0,0,lag-llama,"[2, 1, 2, 1, 2]","[2, 1, 2, 2, 2]","[1, 1, 1, 2, 1]",40,100,lag-llama,"[2, 1, 2]","[1, 2, 2, 1, 2, 2, 2]","[0, 1, 1, 0, 1, 1, 1]",0,33.33333333,"2, 1, 2, 1, 2, 2, 1, 2, 2, 2"
3,lag-llama,"[1, 2, 2, 3, 3, 4, 4, 4, 5]",[5],[4],0,0,lag-llama,"[1, 2, 2, 3, 3, 4, 4, 4]","[5, 5]","[3, 3]",0,0,lag-llama,"[1, 2, 2, 3, 3]","[4, 4, 4, 5, 5]","[2, 2, 2, 2, 2]",0,0,lag-llama,"[1, 2, 2]","[3, 3, 4, 4, 4, 5, 5]","[1, 2, 3, 1, 3, 4, 4]",0,40,"1, 2, 2, 3, 3, 4, 4, 4, 5, 5"
3,lag-llama,"[2, 4, 8, 16, 32, 64, 128, 256, 512]",[1024],[263],0,0,lag-llama,"[2, 4, 8, 16, 32, 64, 128, 256]","[512, 1024]","[199, 129]",0,0,lag-llama,"[2, 4, 8, 16, 32]","[64, 128, 256, 512, 1024]","[16, 12, 19, 16, 19]",0,0,lag-llama,"[2, 4, 8]","[16, 32, 64, 128, 256, 512, 1024]","[5, 7, 3, 4, 4, 5, 1]",0,0,"2, 4, 8, 16, 32, 64, 128, 256, 512, 1024"
3,lag-llama,"[2, 5, 12, 20, 29, 39, 50, 62, 75]",[89],[41],0,0,lag-llama,"[2, 5, 12, 20, 29, 39, 50, 62]","[75, 89]","[43, 50]",0,0,lag-llama,"[2, 5, 12, 20, 29]","[39, 50, 62, 75, 89]","[18, 25, 20, 24, 17]",0,0,lag-llama,"[2, 5, 12]","[20, 29, 39, 50, 62, 75, 89]","[1, 3, 7, 4, 2, 7, 2]",0,0,"2, 5, 12, 20, 29, 39, 50, 62, 75, 89"
3,lag-llama,"[7, 11, 13, 17, 19, 23, 29, 31, 37]",[41],[25],0,0,lag-llama,"[7, 11, 13, 17, 19, 23, 29, 31]","[37, 41]","[27, 24]",0,0,lag-llama,"[7, 11, 13, 17, 19]","[23, 29, 31, 37, 41]","[11, 15, 15, 18, 12]",0,0,lag-llama,"[7, 11, 13]","[17, 19, 23, 29, 31, 37, 41]","[8, 11, 8, 9, 7, 7, 9]",0,0,"7, 11, 13, 17, 19, 23, 29, 31, 37, 41"
3,lag-llama,"[1, 11, 111, 1111, 11111, 111111, 1111111, 11111111, 111111111]",[1111111111],[798980],0,0,lag-llama,"[1, 11, 111, 1111, 11111, 111111, 1111111, 11111111]","[111111111, 1111111111]","[512565, 427641]",0,0,lag-llama,"[1, 11, 111, 1111, 11111]","[111111, 1111111, 11111111, 111111111, 1111111111]","[1232, 1008, 915, 1376, 540]",0,0,lag-llama,"[1, 11, 111]","[1111, 11111, 111111, 1111111, 11111111, 111111111, 1111111111]","[17, 12, 15, 3, 11, 14, 5]",0,0,"1, 11, 111, 1111, 11111, 111111, 1111111, 11111111, 111111111, 1111111111"
3,lag-llama,"[31, 331, 3331, 33331, 333331, 3333331, 33333331, 333333331]","[31, 331, 3331, 33331, 333331, 3333331, 33333331, 333333331]","[19376260, 8694056, -5168948, 419262, 6248500, 6756478, -2788326, -9524885]",0,0,lag-llama,"[31, 331, 3331, 33331, 333331, 3333331]","[33333331, 333333331]","[252450, 145072]",0,0,lag-llama,"[31, 331, 3331, 33331]","[333331, 3333331, 33333331, 333333331]","[1142, 2862, 3309, 2895]",0,0,lag-llama,"[31, 331]","[3331, 33331, 333331, 3333331, 33333331, 333333331]","[0, 0, 0, 0, 0, 0]",0,0,"31, 331, 3331, 33331, 333331, 3333331, 33333331, 333333331"
3,lag-llama,"[1, 3, 7, 13, 21, 31, 43, 57, 73]",[91],[71],0,0,lag-llama,"[1, 3, 7, 13, 21, 31, 43, 57]","[73, 91]","[39, 39]",0,0,lag-llama,"[1, 3, 7, 13, 21]","[31, 43, 57, 73, 91]","[14, 15, 15, 13, 12]",0,0,lag-llama,"[1, 3, 7]","[13, 21, 31, 43, 57, 73, 91]","[4, 3, 0, 5, 3, 1, 4]",0,0,"1, 3, 7, 13, 21, 31, 43, 57, 73, 91"
